Course,City,State,Country,Year
Wynlakes,Montgomery,Alabama,US,1990
Lagoon Park,Montgomery,Alabama,US,1996
University of Alabama Golf Course,Tuscaloosa,Alabama,US,1997
Hidden Meadows,Nortport,Alabama,US,1998
Bent Brook,Bessemer,Alabama,US,1999
Pikeville Country Club,Guin,Alabama,US,1999
RTJ - Cambrian Ridge - 27,Greenville,Alabama,US,1999
RTJ - Capitol Hill - Judge,Prattville,Alabama,US,1999
RTJ - Capitol Hill - Legistator,Prattville,Alabama,US,1999
RTJ - Capitol Hill - Senator,Prattville,Alabama,US,1999
RTJ - Grand National - Lake,Opelika,Alabama,US,1999
RTJ - Grand National - Links,Opelika,Alabama,US,1999
RTJ - Hampton Cove - course?,Huntsville,Alabama,US,1999
RTJ - Highland Oaks - 27,Dothan,Alabama,US,1999
RTJ - Magnolia Grove - Crossings,Mobile,Alabama,US,1999
RTJ - Magnolia Grove - Falls,Mobile,Alabama,US,1999
RTJ - Oxmoor Valley - Ridge,Birmingham,Alabama,US,1999
RTJ - Oxmoor Valley - Valley,Birmingham,Alabama,US,1999
RTJ - Silver Lakes - 27,Gadsden,Alabama,US,1999
Cypress Tree - Maxwell AFB,Montgomery,Alabama,US,1999
Lido Golf Club,Lido Beach,New York,US,1999
Three Ponds Farm,Watermill,New York,US,1999
The Links at Squaw Creek,Olympic Valley,California,US,2000
Mimosa Park Golf Course,Tuscaloosa,Alabama,US,2000
Los Angeles Country Club - North,Los Angeles,California,US,2000
Riviera Country Club,Pacific Palisades,California,US,2000
Spyglass Hill Golf Course,Pebble Beach,California,US,2000
The Links at Spanish Bay,Pebble Beach,California,US,2000
Omni Homestead (Cascades),Hot Springs,Virginia,US,2001
Omni Homestead (Old Course),Hot Springs,Virginia,US,2001
Birmingham CC - East,Mountain Brook,Alabama,US,2001
Northriver Yacht Club,Tuscaloosa,Alabama,US,2001
Ol' Colony,Tuscaloosa,Alabama,US,2001
Fairmont Chateau Whistler GC,Whistler,British Columbia,CA,2002
Lake Toxaway Country Club,Lake Toxaway,North Carolina,US,2003
Congressional Country Club - Blue,Bethesda,Maryland,US,2004
Maidstone Club,East Hampton,New York,US,2004
National Golf Links of America,Southhampton,New York,US,2004
Sun Valley - Trail Creek,Sun Valley,Idaho,US,2004
Winged Foot Golf Club - West,Mamaroneck,New York,US,2005
Le Manoir Richelieu Golf Club,Pointe-au-Pic,Quebec,CA,2005
Banff Spring Golf Course,Banff,Alberta,CA,2006
Samoset Resort,Rockport,Maine,US,2007
Centennial Golf Club,Carmel,New York,US,2007
West Point,West Point,New York,US,2007
Rutgers University Golf Course,Piscatraway,New Jersey,US,2007
Cape Code Country Club,Brewster,Massachusetts,US,2008
Eastward Ho!,Chatham,Massachusetts,US,2008
Split Rock,Bronx,New York,US,2008
RTJ - Ross Bridge,Birmingham,Alabama,US,2010
Blackwolf Run - Meadow Valleys,Kohler,Wisconsin,US,2010
Whistling Straits - Irish Course,Sheboygan,Wisconsin,US,2010
Whistling Straits - Straits Course,Sheboygan,Wisconsin,US,2010
Broadmoor - East,Colorado Springs,Colorado,US,2011
Broadmoor - Mountain,Colorado Springs,Colorado,US,2011
Broadmoor - West,Colorado Springs,Colorado,US,2011
Bethpage State Park - Black Course,Bethpage,New York,US,2011
Tuxedo Club,Tuxedo Park,New York,US,2011
Royal Isabela,Isabella,Puerto Rico,US,2011
Mount Washington Resort - Pleasant,Bretton Woods,New Hampshire,US,2012
Mount Washington Resort - Wahsington,Bretton Woods,New Hampshire,US,2012
Van Cortlandt Park,Bronx,New York,US,2012
Eisenhower Park - White,East Meadow,New York,US,2012
Newcastle - China Creek,Newcastle,Washington,US,2012
Newcastle - Coal Creek,Newcastle,Washington,US,2012
Redmond Ridge Golf Club,Redmond,Washington,US,2012
Miamai Beach Golf Club,Miami Beach,Florida,US,2013
Trump National Doral - Blue Monster,Miami,Florida,US,2013
Trump National Doral - Great White,Miami,Florida,US,2013
Stowe Mountain Club,Stowe,Vermont,US,2013
Stowe County Club,Stowe,Vermont,US,2013
Highland Park Golf Course,Birmingham,Alabama,US,2013
TimberCreek,Daphne,Alabama,US,2013
Arrowhead Country Club,Montgomery,Alabama,US,2014
Normandy Shores,Miami,Florida,US,2014
RTJ - Lakewood - Azalea,Fairhope,Alabama,US,2014
RTJ - Lakewood - Dogwood,Fairhope,Alabama,US,2014
Lake Forest Golf Club,Daphne,Alabama,US,2014
Gulf Shores Golf Club,Gulf Shores,Alabama,US,2014
TPC Sawgrass - Dye's Valley Course,Ponte Vedra,Florida,US,2014
TPC Sawgrass - Stadium Course,Ponte Vedra,Florida,US,2014
Black Rock,Coeur d'Alene,Idaho,US,2014
Coeur D'Alene Resort GC,Couer d'Alene,Idaho,US,2014
Pelican Hill Golf Club - The Ocean North,Newport Coast,California,US,2015
Pelican Hill Golf Club - The Ocean South,Newport Coast,California,US,2015
Garden City Golf Club,Garden City,New York,US,2015
LaTourette,Staten Island,New York,US,2015
Silver Lake,Staten Island,New York,US,2015
Trump Ferry Point,Bronx,New York,US,2015
Park City Golf Course,Park City,Utah,US,2015
Ka'anapali,Lahaina,Hawaii,US,2016
Bay Harbor Golf Club - 27,Bay Harbor,Michigan,US,2016
Crooked Tree Golf Club,Petoskey,Michigan,US,2016
Douglaston,Queens,New York,US,2016
Griffith E. Harris Golf Course,Greenwich,Connecticut,US,2016
Dyker Beach,Brooklyn,New York,US,2016
Marine Park,New York,New York,US,2016
Saxon Woods,Scarsdale,New York,US,2016
Windham Country Club,Windham,New York,US,2016
Fairways and Greens Golf Center,Knoxville,Tennessee,US,2016
Rolling Hills,Wilton,Connecticut,US,2017
Skyway,Jersey City,New Jersey,US,2017
Fox Harb'r Resort,Wallace,Nova Scotia,CA,2017
Northumberland Links,Pugwash,Nova Scotia,CA,2017
Mount Snow,West Dover,Vermont,US,2017
Montgomery Country Club,Montgomery,Alabama,US,2018
Beaver Creek,Avon,Colorado,US,2018
Red Sky Golf Club - Fazio Course,Wolcott,Colorado,US,2018
Red Sky Golf Club - Norman Course,Wolcott,Colorado,US,2018
Apawamis Club,Rye,New York,US,2018
Forest Park,New York,New York,US,2018
Kissena Park,Queens,New York,US,2018
Bandon Dunes,Bandon,Oregon,US,2018
Bandon Preserve,Bandon,Oregon,US,2018
Bandon Trails,Bandon,Oregon,US,2018
Diamond Woods,Eugene,Oregon,US,2018
Old Macdonald,Bandon,Oregon,US,2018
Pacific Dunes,Bandon,Oregon,US,2018
Farmlinks at Purcell Farms,Sylacauga,Alabama,US,2019
Citi Field,Queens,New York,US,2019
Clearview Park Golf Course,New York,New York,US,2019
Hiland Park Country Club,Queensbury,New York,US,2019
South Shore Golf Club,Staten Island,New York,US,2019
Mosholu,New York,New York,US,2019
Sagamore Golf Club,Bolton,New York,US,2019
Mid Pines Club,Southern Pines,North Carolina,US,2019
Pinehurst #2,Pinehurst,North Carolina,US,2019
Pinehurst #4,Pinehurst,North Carolina,US,2019
Pinehurst #8,Pinehurst,North Carolina,US,2019
Tobacco Road,Sanford,North Carolina,US,2019
Ballyowen Golf Club,Hamburg,New Jersey,US,2020
Galloping Hill Golf Course,Kenilworth,New Jersey,US,2020
Knoll West,Parsippany,New Jersey,US,2020
River Vale Country Club,River Vale,New Jersey,US,2020
Royce Brook East,Hillsborough,New Jersey,US,2020
Pleasentville Country Club,Pleasentville,New York,US,2020
Maplewood Country Club,Maplewood,New Jersey,US,2021
Flushing Meadows Pitch & Putt,Flushing,New York,US,2021
Sunset Valley Golf Course,Pompton Plains,New Jersey,US,2021
Rock Manor Golf Club,Wilmington,Delaware,US,2021
Pelham Bay,Bronx,New York,US,2021
Whiteface Club,Lake Placid,New York,US,2021
Lake Placid Club - Mountain Course,Lake Placid,New York,US,2021
Lake Placid Club - Links Course,Lake Placid,New York,US,2021
Oak Hills Park GC,Norwalk,Connecticut,US,2021
Dunwoodie,Yonkers,New York,US,2021
The Reserve at Moonlight Basin,Big Sky,Montana,US,2021
The Club at Spanish Peaks,Big Sky,Montana,US,2021
Sprain Lake,Yonkers,New York,US,2021
Weequahic Park Golf Course,Newark,New Jersey,US,2021
Stillwater,Dadeville,Alabama,US,2021
Desert Pines Golf Club,Las Vegas,Nevada,US,2022
Bali Hai Golf Club,Las Vegas,Nevada,US,2022
Las Vegas Paiute - Wolf,Las Vegas,Nevada,US,2022
Gateway,Montgomery,Alabama,US,2022
Mohansic Golf Course,Yorktown Heights,New York,US,2022
Dead Horse Lake Golf Course,Knoxville,Tennessee,US,2022
Farm Golf Club,Rocky Face,Georgia,US,2022
Chattanooga Golf and Country Club,Chattanooga,Tennessee,US,2022
