Course,City1,State1,Country1,Year
Otter Creek,Columbus,Indiana,US,
Sterling Farms,Stamford,Connecticut,US,
Oak Hills,Norwalk,Connecticut,US,
Centennial,Carmel,New York,US,
Great River,Milford,Connecticut,US,
Chequessett,Wellfleet,Massachusetts,US,
Highland Links,North Truro,Massachusetts,US,
Richter Park,Danbury,Connecticut,US,
Rio Secco,Las Vegas,Nevada,US,
Brennan,Stamford,Connecticut,US,
Lake of Isles,New London,Connecticut,US,
Stonebridge,Ann Arbor,Michigan,US,
Seaview,Galloway,New Jersey,US,
Whitney Farms,Monroe,Connecticut,US,
Tashua Knolls,Trumbull,Connecticut,US,
Grassy Hill,Orange,Connecticut,US,
New Course,St. Andrews,Scotland,UK,
Greenwich Country Club,Greenwich,Connecticut,US,
Revere Golf Club,Las Vegas,Nevada,US,
Kissena Park,New York,New York,US,
Grand National - Lake Course,Opelika,Alabama,US,
Grand National - Links Course,Opelika,Alabama,US,
Capitol Hill - Senator Course,Prattville,Alabama,US,
Ross Bridge,Birmingham,Alabama,US,
Oxmoor Valley - Ridge Course,Birmingham,Alabama,US,
Magnolia Grove,Mobile,Alabama,US,
La Tourette,New York,New York,US,
Split Rock,New York,New York,US,
Cascata,Las Vegas,Nevada,US,
Sawgrass,Ponte Vedra,Florida,US,
El Manglar,Cancun,,MX,
Wailea Old Blue,Maui,Hawaii,US,
Poipu Bay,Kauai,Hawaii,US,
Club de Golf de I'lle de Montreal,Montreal,Quebec,CA,
Pound Ridge,Pound Ridge,New York,US,
Normandy Shores,Miami,Florida,US,
Cottonwood Hills,Bozeman,Montana,US,
Wolf Creek,Mesquite,Nevada,US,
Trump Ferry Point,New York,New York,US,
Pelham Bay,New York,New York,US,
Saxon Woods,Scarsdale,New York,US,
Van Cortlandt Park,New York,New York,US,
Mount Snow,West Dover,Vermont,US,
The Grove,Hertfordshire,England,UK,
Rondebosch Golf Club,Cape Town,,SA,
Belle Mare Plage,Belle Mare,,MU,
Four Season - Mauritius al Anahita,Beau Champ,,MU,
Marine Park,New York,New York,US,
Apawamis Club,Rye,New York,US,
Bethpage State Park - Black Course,Bethpage,New York,US,
Christman's Windham House,Windham,New York,US,
Douglaston,New York,New York,US,
Shadow Creek,Las Vegas,Nevada,US,
Wynn,Las Vegas,Nevada,US,
TPC Las Vegas,Las Vegas,Nevada,US,
Windham,Windham,New York,US,
Stanwich Country Club,Greenwich,Connecticut,US,
The Griff,Stamford,Connecticut,US,
Jubilee Course,St. Andrews,Scotland,UK,
Castle Course,St. Andrews,Scotland,UK,
Old Course,St. Andrews,Scotland,UK,
Burnt Island,Burntisland,Scotland,UK,
Porto Elounda,Crete,,GR,
Crete Golf Club,Crete,,GR,
Forest Park,New York,New York,US,
Silver Lake,Staten Island,New York,US,
Hideaway Hills,Kresgeville,Pennsylvania,US,
Skyway,Jersey City,New Jersey,US,
Mosholu,New York,New York,US,
Desert Willow,Hendersonville,Nevada,US,
Reflection Bay,Hendersonville,Nevada,US,
Golden Horseshoe - Green Course,Williamsburg,Virginia,US,
Golden Horseshoe - Spotsman,Wiliamsburg,Virginia,US,
Golden Horseshoe - Gold Course,Williamsbirg,Virginia,US,
Prince William,Nokesville,Virginia,US,
Malta Golf Club,Marsa,,MT,
Bandon Preserve,Bandon,Oregon,US,
Pacific Dunes,Bandon,Oregon,US,
Bandon Dunes,Bandon,Oregon,US,
Bandon Trails,Bandon,Oregon,US,
Old Macdonald,Bandon,Oregon,US,
Diamond Woods,Eugene,Oregon,US,
Cog Hill Dubsdread,Lemont,Illinois,US,
Seven Bridges,Woodridge,Illinois,US,
Dyker Beach,Brooklyn,New York,US,
Rolling Hills,Wilton,Connecticut,US,
Stratton Mountain Golf Course,Stratton Mountain,Vermont,US,
FDR Golf Club,Philadelphia,Pennsylvania,US,
Citi Field,Queens,New York,US,
Royal Blue at Baha Mar,New Providence,,BS,
The Ocean Club,New Providence,,BS,
Pinehurst #2,Pinehurst,North Carolina,US,
Mid Pines Club,Southern Pines,North Carolina,US,
Pinehurst #4,Pinehurst,North Carolina,US,
Pinehurst #8,Pinehurst,North Carolina,US,
Tobacco Road,Sanford,North Carolina,US,
River Vale Country Club,River Vale,New Jersey,US,
Sagamore Golf Club,Bolton,New York,US,
South Shore Golf Club,Staten Island,New York,US,
Glen Brook Golf Club,Stroudsburg,Pennsylvania,US,
Mohegan Sun Golf Club,Baltic,Connecticut,US,
Legacy Golf Club at Lakewood Ranch,Bradenton,Florida,US,
Innisbrook Golf and Spa - Copperhead,Palm Harbor,Florida,US,
Greystone Golf Club,Dickson,Tennessee,US,
Gaylord Springs Golf Club,Nashville,Tennessee,US,
Legacy Golf Course,Springfield,Tennessee,US,
Montgomery Bell Golf Course,Burns,Tennessee,US,
President's Reserve,Hermitage,Tennessee,US,
Cheekwood Golf Club,Franklin,Tennessee,US,
Smyrna Golf Course,Smyrna,Tennessee,US,
Franklin Bridge Golf Club,Franklin,Tennessee,US,
Harpeth Hills Golf Course,Nashville,Tennessee,US,
Henry Horton Golf Course,Chapel Hill,Tennessee,US,
Osprey Point at Kiawah Island,Kiawah Island,South Carolina,US,
Turtle Point at Kiawah Island,Kiawah Island,South Carolina,US,
Oak Point at Kiawah Island,Kiawah Island,South Carolina,US,
Ocean Course at Kiawah Island,Kiawah Island,South Carolina,US,
Cougar Point at Kiawah Island,Kiawah Island,South Carolina,US,
Galloping Hill Golf Course,Kenilworth,New Jersey,US,
Royce Brook East,Hillsborough,New Jersey,US,
Indian Springs Golf Club,Middletown,Connecticut,US,
Ballyowen Golf Club,Hamburg,New Jersey,US,
Clearview Park Golf Course,New York,New York,US,
Sunset Valley Golf Course,Pompton Plains,New Jersey,US,
Rock Manor,Wilmington,Delaware,US,
Bulle Rock Golf Course,Havre de Grace,Maryland,US,
Fairchild-Wheeler - Red Course,Fairfield,Connecticut,US,
Desert Pines Golf Course,Las Vegas,Nevada,US,
Bali Hai Golf Club,Las Vegas,Nevada,US,
Las Vegas Paiute Golf Resort - Wolf,Las Vegas,Nevada,US,
Boyne Highlands - Heather,Harbor Springs,Michigan,US,
Boyne Highlands - Arthur Hills,Harbor Springs,Michigan,US,
The Course at Yale,New Haven,Connecticut,US,
Longshore Golf Club,Westport,Connecticut,US,
The Legends Golf Resort: Parkland,Myrtle Beach,South Carolina,US,
The Legends Golf Resort: Moorland,Mrytle Beach,South Carolina,US,
The Legends Golf Resort: Heathlands,Mrytle Beach,South Carolina,US,
Grand Dunes Resort Course,Mrytle Beach,South Carolina,US,
Beachwood Golf Course,Mrytle Beach,South Carolina,US,
Apple Greens Golf Course,Highland,New York,US,
Mohonk Golf Course,New Paltz,New York,US,
