,best_match_score,__id_left,__id_right,Course,City,State,Country,Year,id,name,address,city,state,country,latitude,longitude
0,0.47944043931980024,0_left,5671_right,Otter Creek,Columbus,Indiana,US,,5672,Otter Creek Golf Course - North/West,  11522 E 50 N,Columbus,Indiana,US,39.208404,-85.918828
6,0.8276152600952339,1_left,2531_right,Sterling Farms,Stamford,Connecticut,US,,2532,Sterling Farms Golf Course,  1349 Newfield Ave,Stamford,Connecticut,US,41.10618675,-73.52710632996447
7,0.5718619644379982,2_left,2474_right,Oak Hills,Norwalk,Connecticut,US,,2475,Oak Hills Park Golf Course,  165 Fillow St,Norwalk,Connecticut,US,41.1140234,-73.44439209418469
8,0.4768779392460839,3_left,11429_right,Centennial,Carmel,New York,US,,11430,Centennial Golf Club - Lakes/Meadows,  185 John Simpson Rd,Carmel,New York,US,41.4244204,-73.65097018048655
14,0.7055904353425854,4_left,2452_right,Great River,Milford,Connecticut,US,,2453,Great River Golf Club,  130 CORAM LN,Milford,Connecticut,US,41.27485095,-73.08301081409091
15,0.7444982777010705,5_left,8010_right,Chequessett,Wellfleet,Massachusetts,US,,8011,Chequessett Yacht & Country Club,  680 Chequessett Neck Rd,Wellfleet,Massachusetts,US,41.9306751,-70.05468344684678
16,0.9680464327391969,6_left,7866_right,Highland Links,North Truro,Massachusetts,US,,7867,Highland Links,  10 Highland Light Rd,North Truro,Massachusetts,US,42.038039,-70.06318
17,0.7984966462924878,7_left,2385_right,Richter Park,Danbury,Connecticut,US,,2386,Richter Park Golf Course,  100 Aunt Hack Rd,Danbury,Connecticut,US,41.41259425,-73.52030190830902
18,0.037685352181502464,8_left,10626_right,Rio Secco,Las Vegas,Nevada,US,,10627,The Summit Club,  Summit Club Drive,Las Vegas,Nevada,US,36.10411,-115.33627
57,0.3838421942461189,9_left,2529_right,Brennan,Stamford,Connecticut,US,,2530,E. Gaynor Brennan Golf Course,  451 Stillwater Rd,Stamford,Connecticut,US,41.0603066,-73.55687974676745
58,0.1987443788449905,10_left,2470_right,Lake of Isles,New London,Connecticut,US,,2471,Lake of Isles - South Course,  1 CLUBHOUSE DR,North Stonington,Connecticut,US,41.4829856,-71.951742
62,0.7686348113848501,11_left,8083_right,Stonebridge,Ann Arbor,Michigan,US,,8084,Stonebridge Golf Club,  1825 CLUBHOUSE DR,Ann Arbor,Michigan,US,42.213993900000006,-83.76883879957293
63,0.5226649835222479,12_left,10900_right,Seaview,Galloway,New Jersey,US,,10901,Stockton Seaview Hotel & Golf Club - Bay,  401 S New York Rd,Galloway Township,New Jersey,US,39.449543,-74.471728
65,0.7641830412691258,13_left,2454_right,Whitney Farms,Monroe,Connecticut,US,,2455,Whitney Farms Golf Club,  175 Shelton Rd,Monroe,Connecticut,US,41.33878205,-73.19634177591595
66,0.717259703903841,14_left,2543_right,Tashua Knolls,Trumbull,Connecticut,US,,2544,Tashua Knolls Golf Club - Regulation,  40 Tashua Knolls Ln,Trumbull Twn,Connecticut,US,41.288853,-73.249528
68,0.74418712118627,15_left,2482_right,Grassy Hill,Orange,Connecticut,US,,2483,Grassy Hill Country Club,  441 Clark Ln,Orange,Connecticut,US,41.2659281,-73.04739673529753
69,0.23424735547989384,16_left,27609_right,New Course,St. Andrews,Scotland,UK,,27610,St Andrews Links - The New Course,  Pilmour House,St Andrews,Fife,UK,56.3576,-2.8178
70,1.0404800822025584,17_left,2417_right,Greenwich Country Club,Greenwich,Connecticut,US,,2418,Greenwich Country Club,  19 Doubling Rd,Greenwich,Connecticut,US,41.05440735,-73.61092039819584
74,0.32258793640850353,18_left,10617_right,Revere Golf Club,Las Vegas,Nevada,US,,10618,Royal Links Golf Club,  5995 E. Vegas Valley Dr.,Las Vegas,Nevada,US,36.132064,-115.047236
91,0.3017698228501387,19_left,11593_right,Kissena Park,New York,New York,US,,11594,Kissena Park Golf Course,  165-14 Booth Memorial Ave,Flushing,New York,US,40.744764,-73.798119
92,0.5646589329195086,20_left,220_right,Grand National - Lake Course,Opelika,Alabama,US,,221,RTJ Golf Trail at Grand National - Lake,  3000 Robert Trent Jones Trail,Opelika,Alabama,US,32.6803815,-85.4223927325281
144,0.5716644413010398,21_left,221_right,Grand National - Links Course,Opelika,Alabama,US,,222,RTJ Golf Trail at Grand National - Links,  3000 Robert Trent Jones Trail,Opelika,Alabama,US,32.6803815,-85.4223927325281
196,0.7298642895955728,22_left,253_right,Capitol Hill - Senator Course,Prattville,Alabama,US,,254,RTJ Golf Trail at Capitol Hill - Senator,  2600 Constitution Ave,Prattville,Alabama,US,32.4475,-86.3991
248,0.06860266032774989,23_left,155_right,Ross Bridge,Birmingham,Alabama,US,,156,RTJ Golf Trail at Ross Bridge,  4000 Grand Ave,Hoover,Alabama,US,33.39059555,-86.87922541615231
302,0.5787458275631974,24_left,47_right,Oxmoor Valley - Ridge Course,Birmingham,Alabama,US,,48,RTJ Golf Trail at Oxmoor Valley - Ridge,  100 SUNBELT PKWY,Birmingham,Alabama,US,33.4167068,-86.87242317650268
354,0.5027140671808475,25_left,198_right,Magnolia Grove,Mobile,Alabama,US,,199,RTJ Golf Trail at Magnolia Grove - Falls,  7001 MAGNOLIA GROVE PKY,Mobile,Alabama,US,30.740501,-88.20578
357,0.2575457648566573,26_left,12128_right,La Tourette,New York,New York,US,,12129,La Tourette Golf Course,  1001 Richmond Hill Rd,Staten Island,New York,US,40.57317299758045,-74.1464934235785
358,0.3439220853662762,27_left,11396_right,Split Rock,New York,New York,US,,11397,Split Rock Golf Course,  870 Shore Rd,Bronx,New York,US,40.87273312033569,-73.80925958350291
359,0.15980134701165996,28_left,10626_right,Cascata,Las Vegas,Nevada,US,,10627,The Summit Club,  Summit Club Drive,Las Vegas,Nevada,US,36.10411,-115.33627
398,0.5692341648112755,29_left,3681_right,Sawgrass,Ponte Vedra,Florida,US,,3682,Sawgrass Country Club - South/South,  10034 Golf Club Drive,Ponte Vedra Beach,Florida,US,30.188582,-81.369191
404,-0.1495336021904565,30_left,23937_right,El Manglar,Cancun,,MX,,23938,El Tinto Golf Course,"  Carr. Cancun, Tulum Kim. 338 Lote I-02 Sm. 46",Cancun,Quintana Roo,MX,21.144748,-86.907089
464,0.29025729276495976,31_left,4707_right,Wailea Old Blue,Maui,Hawaii,US,,4708,Wailea Golf Club - Blue,  100 Wailea Ike Drive,Wailea,Hawaii,US,20.6865832,-156.4378959
465,0.2754402164556073,32_left,4680_right,Poipu Bay,Kauai,Hawaii,US,,4681,Poipu Bay Resort Golf Course,  2250 Ainako Street,Koloa,Hawaii,US,21.877468,-159.436124
466,0.08568333475244198,33_left,22708_right,Club de Golf de I'lle de Montreal,Montreal,Quebec,CA,,22709,Club de Golf de L'ile de Montr=C3=A9al - I'lrlande,  3700 rue Damien-Gauthier,Montreal,Quebec,CA,45.6855475,-73.51082
467,1.0135805340406685,34_left,11983_right,Pound Ridge,Pound Ridge,New York,US,,11984,Pound Ridge Golf Club,  18 High Ridge Road,Pound Ridge,New York,US,41.1771293,-73.5655988
468,0.7293733661686731,35_left,3318_right,Normandy Shores,Miami,Florida,US,,3319,Normandy Shores Golf Course,  2401 Biarritz Dr,Miami Beach,Florida,US,25.85639125,-80.14441060672982
469,0.6396595566998938,36_left,10195_right,Cottonwood Hills,Bozeman,Montana,US,,10196,Cottonwood Hills Golf Course - Executive,  8955 River Rd,Bozeman,Montana,US,45.675638,-111.21418
471,0.8042162709018051,37_left,10638_right,Wolf Creek,Mesquite,Nevada,US,,10639,Wolf Creek Golf Course,  403 Paradise Parkway,Mesquite,Nevada,US,36.83687785,-114.05920265671853
472,0.4944500385489291,38_left,11397_right,Trump Ferry Point,New York,New York,US,,11398,Trump Golf Links Ferry Point,  500 Hutchinson River Parkway,Bronx,New York,US,40.8121,-73.8329
473,0.29573113424997366,39_left,11395_right,Pelham Bay,New York,New York,US,,11396,Pelham Bay Golf Course,  870 Shore Rd,Bronx,New York,US,40.87273312033569,-73.80925958350291
474,1.0157711895962744,40_left,12073_right,Saxon Woods,Scarsdale,New York,US,,12074,Saxon Woods Golf Course,  315 MAMARONECK RD,Scarsdale,New York,US,40.97859273043415,-73.76125506842997
476,0.5602485696924684,41_left,11398_right,Van Cortlandt Park,New York,New York,US,,11399,Van Cortlandt Park Golf Course,  115 Van Cortlandt Park S,Bronx,New York,US,40.889105,-73.89230770919053
477,1.1459038996100082,42_left,17272_right,Mount Snow,West Dover,Vermont,US,,17273,Mount Snow Golf Club,  95 Country Club Rd,West Dover,Vermont,US,42.932933649999995,-72.87221405909199
478,-0.09370539496026996,43_left,15831_right,The Grove,Hertfordshire,England,UK,,15832,The Grove,  6200 Wildings Blvd,College Grove,Tennessee,US,35.817817500000004,-86.72974536360928
651,-0.004320286571897465,44_left,24443_right,Rondebosch Golf Club,Cape Town,,SA,,24444,Westlake Golf Club,"  Westlake Avenue off Boyes Drive, Lakeside",Cape Town,Western Cape,ZA,-34.090089,18.459291
857,-0.11510905034445999,45_left,23713_right,Belle Mare Plage,Belle Mare,,MU,,23714,Belle Mare Plage Resort - Links Course,  Belle Mare,Poste De Flacq,Flacq,MU,-20.1698818,57.74829122580037
891,-0.6261186774322738,46_left,14574_right,Four Season - Mauritius al Anahita,Beau Champ,,MU,,14575,Four Seasons Golf Club,  750 Slocum Ave,Exeter,Pennsylvania,US,41.32612605,-75.83009174570438
934,0.2748830267589437,47_left,11401_right,Marine Park,New York,New York,US,,11402,Marine Park Golf Course,  2880 Flatbush Ave,Brooklyn,New York,US,40.6070405879397,-73.91953933165829
935,0.7667040911912965,48_left,12045_right,Apawamis Club,Rye,New York,US,,12046,The Apawamis Club,  2 Club Rd,Rye,New York,US,40.9861091,-73.6887033
937,1.0192331750490908,49_left,11577_right,Bethpage State Park - Black Course,Bethpage,New York,US,,11578,Bethpage State Park Golf Course - The Black,  99 Quaker Meetinghouse Rd,Farmingdale,New York,US,40.742354,-73.45519
938,1.6460745044516285,50_left,12245_right,Christman's Windham House,Windham,New York,US,,12246,Christman's Windham House - Valley,  5742 Route 23,Windham,New York,US,42.304243,-74.280745
940,0.18268897546862012,51_left,11520_right,Douglaston,New York,New York,US,,11521,Douglaston Golf Club,  6320 Marathon Pkwy,Douglaston,New York,US,40.767441,-73.736864
941,0.8936778830266817,52_left,10644_right,Shadow Creek,Las Vegas,Nevada,US,,10645,Shadow Creek Golf Course,  3 Shadow Creek Drive,North Las Vegas,Nevada,US,36.25801161388945,-115.10649077597161
942,0.800781244814391,53_left,10627_right,Wynn,Las Vegas,Nevada,US,,10628,The Wynn Golf Club,  3145 Las Vegas Blvd South,Las Vegas,Nevada,US,36.1255,-115.1599
943,1.2155603438514393,54_left,10629_right,TPC Las Vegas,Las Vegas,Nevada,US,,10630,TPC Las Vegas,  9851 Canyon Run Drive,Las Vegas,Nevada,US,36.178814700000004,-115.31062551364022
945,0.9371710860172474,55_left,12246_right,Windham,Windham,New York,US,,12247,Windham Country Club,  Country Rd,Windham,New York,US,42.361745,-74.2375539
948,0.32737168435162933,56_left,2421_right,Stanwich Country Club,Greenwich,Connecticut,US,,2422,Tamarack Country Club,  55 Locust Rd,Greenwich,Connecticut,US,41.0967044,-73.71148158998065
952,0.016520595502662487,57_left,2530_right,The Griff,Stamford,Connecticut,US,,2531,Rockrimmon Country Club,  2949 Long Ridge Rd,Stamford,Connecticut,US,41.16477245,-73.59265651203262
1019,0.33170068714896306,58_left,27608_right,Jubilee Course,St. Andrews,Scotland,UK,,27609,St Andrews Links - The Jubilee Course,  Pilmour House,St Andrews,Fife,UK,56.358099,-2.8136
1020,0.13814776973746737,59_left,27606_right,Castle Course,St. Andrews,Scotland,UK,,27607,St Andrews Links - The Castle Course,  Pilmour House,St Andrews,Fife,UK,56.342194,-2.801751
1021,0.11079400504226691,60_left,27610_right,Old Course,St. Andrews,Scotland,UK,,27611,St Andrews Links - The Old Course,  Pilmour House,St Andrews,Fife,UK,56.342194,-2.801751
1022,-0.3034170694054128,61_left,27565_right,Burnt Island,Burntisland,Scotland,UK,,27566,Burntisland Golf Club,  Dodhead,Burntisland,Fife,UK,56.0681943,-3.222412882846033
1077,1.4081180493139272e-05,62_left,23265_right,Porto Elounda,Crete,,GR,,23266,Porto Elounda Golf Club,  Elounda S.A. Hotels & Resorts,Elounda,Crete,GR,35.241,25.7306
1078,0.17493695124779135,63_left,20536_right,Crete Golf Club,Crete,,GR,,20537,La Crete Golf Course,  Box 2349,La Crete,Alberta,CA,58.184058,-116.416765
1166,0.16215997101392457,64_left,12252_right,Forest Park,New York,New York,US,,12253,Forest Park Golf Course,  101 FOREST PARK DR,Woodhaven,New York,US,40.690508,-73.857326
1167,0.9519779596892708,65_left,12130_right,Silver Lake,Staten Island,New York,US,,12131,Silver Lake Golf Course,  915 Victory Blvd,Staten Island,New York,US,40.62237315,-74.09791687768126
1168,0.875789731100734,66_left,14743_right,Hideaway Hills,Kresgeville,Pennsylvania,US,,14744,Hideaway Hills Golf Club,  5590 Carney Road,Kresgeville,Pennsylvania,US,40.883709,-75.500561
1169,1.0463049771980433,67_left,10941_right,Skyway,Jersey City,New Jersey,US,,10942,Skyway Golf Course,  515 Duncan Ave,Jersey City,New Jersey,US,40.7326693629565,-74.09025847244041
1170,0.1707801315121945,68_left,11394_right,Mosholu,New York,New York,US,,11395,Mosholu Golf Course,  3545 Jerome Ave,Bronx,New York,US,40.882170925531916,-73.88200919148936
1171,0.3791334762661636,69_left,10582_right,Desert Willow,Hendersonville,Nevada,US,,10583,Desert Willow Golf Course,  2020 W Horizon Ridge Parkway,Henderson,Nevada,US,36.00848565,-115.0771265697613
1172,0.3753379117218107,70_left,10584_right,Reflection Bay,Hendersonville,Nevada,US,,10585,Reflection Bay Golf Club,  75 Monte Lago Blvd,Henderson,Nevada,US,36.109696,-114.925426
1173,1.03447684441473,71_left,17659_right,Golden Horseshoe - Green Course,Williamsburg,Virginia,US,,17660,The Golden Horseshoe Golf Club - Green,  651 S England St,Williamsburg,Virginia,US,37.25453307538709,-76.69682538243615
